,price,lotsize,bedrooms,bathrms,stories
72,32500.0,1836,2,1,1
73,34000.0,2475,3,1,2
74,35000.0,3210,3,1,2
75,36000.0,3180,3,1,1
76,45000.0,1650,3,1,2
77,47000.0,3180,4,1,2
78,55000.0,3180,2,2,1
79,63900.0,6360,2,1,1
80,50000.0,4240,3,1,2
81,35000.0,3240,2,1,1
82,50000.0,3650,3,1,2
83,43000.0,3240,3,1,2
84,55500.0,3780,2,1,2
85,57000.0,6480,3,1,2
86,60000.0,5850,2,1,1
87,78000.0,3150,3,2,1
88,35000.0,3000,2,1,1
89,44000.0,3090,2,1,1
90,47000.0,6060,3,1,1
91,58000.0,5900,4,2,2
92,163000.0,7420,4,1,2
93,128000.0,8500,3,2,4
94,123500.0,8050,3,1,1
95,39000.0,6800,2,1,1
96,53900.0,8250,3,1,1
97,59900.0,8250,3,1,1
98,35000.0,3500,2,1,1
99,43000.0,2835,2,1,1
100,57000.0,4500,3,2,2
101,79000.0,3300,3,3,2
102,125000.0,4320,3,1,2
103,132000.0,3500,4,2,2
104,58000.0,4992,3,2,2
105,43000.0,4600,2,1,1
106,48000.0,3720,2,1,1
107,58500.0,3680,3,2,2
108,73000.0,3000,3,2,2
109,63500.0,3750,2,1,1
110,43000.0,5076,3,1,1
111,46500.0,4500,2,1,1
112,92000.0,5000,3,1,2
113,75000.0,4260,4,1,2
114,75000.0,6540,4,2,2
115,85000.0,3700,4,1,2
116,93000.0,3760,3,1,2
117,94500.0,4000,3,2,2
118,106500.0,4300,3,2,2
119,116000.0,6840,5,1,2
120,61500.0,4400,2,1,1
121,80000.0,10500,4,2,2
122,37000.0,4400,2,1,1
123,59500.0,4840,3,1,2
124,70000.0,4120,2,1,1
125,95000.0,4260,4,2,2
126,117000.0,5960,3,3,2
127,122500.0,8800,3,2,2
128,123500.0,4560,3,2,2
129,127000.0,4600,3,2,2
130,35000.0,4840,2,1,2
131,44500.0,3850,3,1,2
132,49900.0,4900,3,1,2
133,50500.0,3850,3,1,1
134,65000.0,3760,3,1,1
135,90000.0,6000,4,2,4
136,46000.0,4370,3,1,2
137,35000.0,7700,2,1,1
138,26500.0,2990,2,1,1
139,43000.0,3750,3,1,2
140,56000.0,3000,3,1,2
141,40000.0,2650,3,1,2
142,51000.0,4500,4,2,2
143,51000.0,4500,2,1,1
144,57250.0,4500,3,1,2
145,44000.0,4500,2,1,2
146,61000.0,2175,3,1,2
147,62000.0,4500,3,2,3
148,80000.0,4800,5,2,3
149,50000.0,4600,4,1,2
150,59900.0,3450,3,1,2
151,35500.0,3000,3,1,2
152,37000.0,3600,2,2,2
153,42000.0,3600,3,1,2
154,48000.0,3750,3,1,1
155,60000.0,2610,4,3,2
156,60000.0,2953,3,1,2
157,60000.0,2747,4,2,2
158,62000.0,1905,5,1,2
159,63000.0,3968,3,1,2
160,63900.0,3162,3,1,2
161,130000.0,6000,4,1,2
162,25000.0,2910,3,1,1
163,50000.0,2135,3,2,2
164,52900.0,3120,3,1,2
165,62000.0,4075,3,1,1
166,73500.0,3410,3,1,2
167,38000.0,2800,3,1,1
168,46000.0,2684,2,1,1
169,48000.0,3100,3,1,2
170,52500.0,3630,2,1,1
171,32000.0,1950,3,1,1
172,38000.0,2430,3,1,1
173,46000.0,4320,3,1,1
174,50000.0,3036,3,1,2
175,57500.0,3630,3,2,2
176,70000.0,5400,4,1,2
177,69900.0,3420,4,2,2
178,74500.0,3180,3,2,2
179,42000.0,3660,4,1,2
180,60000.0,4410,2,1,1
181,50000.0,3990,3,1,2
182,58000.0,4340,3,1,1
183,63900.0,3510,3,1,2
184,28000.0,3420,5,1,2
185,54000.0,3420,2,1,2
186,44700.0,5495,3,1,1
187,47000.0,3480,4,1,2
188,50000.0,7424,3,1,1
189,57250.0,3460,4,1,2
190,67000.0,3630,3,1,2
191,52500.0,3630,2,1,1
192,42000.0,3480,3,1,2
193,57500.0,3460,3,2,1
194,33000.0,3180,2,1,1
195,34400.0,3635,2,1,1
196,40000.0,3960,3,1,1
197,40500.0,4350,3,1,2
198,46500.0,3930,2,1,1
199,52000.0,3570,3,1,2
200,53000.0,3600,3,1,1
201,53900.0,2520,5,2,1
202,50000.0,3480,3,1,1
203,55500.0,3180,4,2,2
204,56000.0,3290,2,1,1
205,60000.0,4000,4,2,2
206,60000.0,2325,3,1,2
207,69500.0,4350,2,1,1
208,72000.0,3540,2,1,1
209,92500.0,3960,3,1,1
210,40500.0,2640,2,1,1
211,42000.0,2700,2,1,1
212,47900.0,2700,3,1,1
213,52000.0,3180,3,1,2
214,62000.0,3500,4,1,2
215,41000.0,3630,2,1,1
216,138300.0,6000,4,3,2
217,42000.0,3150,3,1,2
218,47000.0,3792,4,1,2
219,64500.0,3510,3,1,3
220,46000.0,3120,3,1,2
221,58000.0,3000,4,1,3
222,70100.0,4200,3,1,2
223,78500.0,2817,4,2,2
224,87250.0,3240,4,1,3
225,70800.0,2800,3,2,2
226,56000.0,3816,2,1,1
227,48000.0,3185,2,1,1
228,68000.0,6321,3,1,2
229,79000.0,3650,3,2,2
230,80000.0,4700,4,1,2
231,87000.0,6615,4,2,2
232,25000.0,3850,3,1,2
233,32500.0,3970,1,1,1
234,36000.0,3000,2,1,2
235,42500.0,4352,4,1,2
236,43000.0,3630,4,1,2
237,50000.0,3600,6,1,2
238,26000.0,3000,2,1,1
239,30000.0,3000,4,1,2
240,34000.0,2787,4,2,2
241,52000.0,3000,2,1,2
242,70000.0,4770,3,1,1
243,27000.0,3649,2,1,1
244,32500.0,3970,3,1,2
245,37200.0,2910,2,1,1
246,38000.0,3480,2,1,1
247,42000.0,6615,3,1,2
248,44500.0,3500,2,1,1
249,45000.0,3450,3,1,2
250,48500.0,3450,3,1,1
251,52000.0,3520,2,2,1
252,53900.0,6930,4,1,2
253,60000.0,4600,3,2,2
254,61000.0,4360,4,1,2
255,64500.0,3450,3,1,2
256,71000.0,4410,4,3,2
257,75500.0,4600,2,2,1
258,33500.0,3640,2,1,1
259,41000.0,6000,2,1,1
260,41000.0,5400,4,1,2
261,46200.0,3640,4,1,2
262,48500.0,3640,2,1,1
263,48900.0,4040,2,1,1
264,50000.0,3640,2,1,1
265,51000.0,3640,2,1,1
266,52500.0,5640,2,1,1
267,52500.0,3600,2,1,1
268,54000.0,3600,2,1,1
269,59000.0,4632,4,1,2
270,60000.0,3640,3,2,2
271,63000.0,4900,2,1,2
272,64000.0,4510,4,1,2
273,64900.0,4100,2,2,1
274,65000.0,3640,3,1,2
275,66000.0,5680,3,1,2
276,70000.0,6300,3,1,1
277,65500.0,4000,3,1,2
278,57000.0,3960,3,1,2
279,52000.0,5960,3,1,2
280,54000.0,5830,2,1,1
281,74500.0,4500,4,2,1
282,90000.0,4100,3,2,3
283,45000.0,6750,2,1,1
284,45000.0,9000,3,1,2
285,65000.0,2550,3,1,2
286,55000.0,7152,3,1,2
287,62000.0,6450,4,1,2
288,30000.0,3360,2,1,1
289,34000.0,3264,2,1,1
290,38000.0,4000,3,1,1
291,39000.0,4000,3,1,2
292,45000.0,3069,2,1,1
293,47000.0,4040,2,1,1
294,47500.0,4040,2,1,1
295,49000.0,3185,2,1,1
296,50000.0,5900,2,1,1
297,50000.0,3120,3,1,2
298,52900.0,5450,2,1,1
299,53000.0,4040,2,1,1
300,55000.0,4080,2,1,1
301,56000.0,8080,3,1,1
302,58500.0,4040,2,1,2
303,59500.0,4080,3,1,2
304,60000.0,5800,3,1,1
305,64000.0,5885,2,1,1
306,67000.0,9667,4,2,2
307,68100.0,3420,4,2,2
308,70000.0,5800,2,1,1
309,72000.0,7600,4,1,2
310,57500.0,5400,3,1,1
311,69900.0,4995,4,2,1
312,70000.0,3000,3,1,2
313,75000.0,5500,3,2,1
314,76900.0,6450,3,2,1
315,78000.0,6210,4,1,4
316,80000.0,5000,3,1,4
317,82000.0,5000,3,1,3
318,83000.0,5828,4,1,4
319,83000.0,5200,3,1,3
320,83900.0,5500,3,1,3
321,88500.0,6350,3,2,3
322,93000.0,8250,3,2,3
323,98000.0,6000,3,1,1
324,98500.0,7700,3,2,1
325,99000.0,8880,3,2,2
326,101000.0,8880,2,1,1
327,110000.0,6480,3,2,4
328,115442.0,7000,3,2,4
329,120000.0,8875,3,1,1
330,124000.0,7155,3,2,1
331,175000.0,8960,4,4,4
332,50000.0,7350,2,1,1
333,55000.0,3850,2,1,1
334,60000.0,7000,3,1,1
335,61000.0,7770,2,1,1
336,106000.0,7440,3,2,1
337,155000.0,7500,3,3,1
338,141000.0,8100,4,1,2
339,62500.0,3900,3,1,2
340,70000.0,2970,3,1,3
341,73000.0,3000,3,1,2
342,80000.0,10500,2,1,1
343,80000.0,5500,3,2,2
344,88000.0,4500,3,1,4
345,49000.0,3850,3,1,1
346,52000.0,4130,3,2,2
347,59500.0,4046,3,1,2
348,60000.0,4079,3,1,3
349,64000.0,4000,3,1,2
350,64500.0,9860,3,1,1
351,68500.0,7000,3,1,2
352,78500.0,7980,3,1,1
353,86000.0,6800,2,1,1
354,86900.0,4300,6,2,2
355,75000.0,10269,3,1,1
356,78000.0,6100,3,1,3
357,95000.0,6420,3,2,3
358,97000.0,12090,4,2,2
359,107000.0,6600,3,1,4
360,130000.0,6600,4,2,2
361,145000.0,8580,4,3,4
362,175000.0,9960,3,2,2
363,72000.0,10700,3,1,2
364,84900.0,15600,3,1,1
365,99000.0,13200,2,1,1
366,114000.0,9000,4,2,4
367,120000.0,7950,5,2,2
368,145000.0,16200,5,3,2
369,79000.0,6100,3,2,1
370,82000.0,6360,3,1,1
371,85000.0,6420,3,1,1
372,100500.0,6360,4,2,3
373,122000.0,6540,4,2,2
374,126500.0,6420,3,2,2
375,133000.0,6550,4,2,2
376,140000.0,5750,3,2,4
377,190000.0,7420,4,2,3
378,84000.0,7160,3,1,1
379,97000.0,4000,3,2,2
380,103500.0,9000,4,2,4
381,112500.0,6550,3,1,2
382,140000.0,13200,3,1,2
383,74700.0,7085,3,1,1
384,78000.0,6600,4,2,2
385,78900.0,6900,3,1,1
386,83900.0,11460,3,1,3
387,85000.0,7020,3,1,1
388,85000.0,6540,3,1,1
389,86000.0,8000,3,1,1
390,86900.0,9620,3,1,1
391,94500.0,10500,3,2,1
392,96000.0,5020,3,1,4
393,106000.0,7440,3,2,4
394,72000.0,6600,3,1,1
395,74500.0,7200,3,1,2
396,77000.0,6710,3,2,2
397,80750.0,6660,4,2,2
398,82900.0,7000,3,1,1
399,85000.0,7231,3,1,2
400,92500.0,7410,3,1,1
401,76000.0,7800,3,1,1
402,77500.0,6825,3,1,1
403,80000.0,6360,3,1,3
404,80000.0,6600,4,2,1
405,86000.0,6900,3,2,1
406,87000.0,6600,3,1,1
407,87500.0,6420,3,1,3
408,89000.0,6600,3,2,1
409,89900.0,6600,3,2,3
410,90000.0,9000,3,1,1
411,95000.0,6500,3,2,3
412,112000.0,6360,3,2,4
413,31900.0,5300,3,1,1
414,52000.0,2850,3,2,2
415,90000.0,6400,3,1,1
416,100000.0,11175,3,1,1
417,91700.0,6750,2,1,1
418,174500.0,7500,4,2,2
419,94700.0,6000,3,1,2
420,68000.0,10240,2,1,1
421,80000.0,5136,3,1,2
422,61100.0,3400,3,1,2
423,62900.0,2880,3,1,2
424,65500.0,3840,3,1,2
425,66000.0,2870,2,1,2
426,49500.0,5320,2,1,1
427,50000.0,3512,2,1,1
428,53500.0,3480,2,1,1
429,58550.0,3600,3,1,1
430,64500.0,3520,2,1,2
431,65000.0,5320,3,1,2
432,69000.0,6040,3,1,1
433,73000.0,11410,2,1,2
434,75000.0,8400,3,1,2
435,75000.0,5300,4,2,1
436,132000.0,7800,3,2,2
437,60000.0,3520,3,1,2
438,65000.0,5360,3,1,2
439,69000.0,6862,3,1,2
440,51900.0,3520,3,1,1
441,57000.0,4050,2,1,2
442,65000.0,3520,3,1,1
443,79500.0,4400,4,1,2
444,72500.0,5720,2,1,2
445,104900.0,11440,4,1,2
446,114900.0,7482,3,2,3
447,120000.0,5500,4,2,2
448,58000.0,4320,3,1,2
449,67000.0,5400,2,1,2
450,67000.0,4320,3,1,1
451,69000.0,4815,2,1,1
452,73000.0,6100,3,1,1
453,73500.0,7980,3,1,1
454,74900.0,6050,3,1,1
455,75000.0,3800,3,1,2
456,79500.0,5400,5,1,2
457,120900.0,6000,3,2,4
458,44555.0,2398,3,1,1
459,47000.0,2145,3,1,2
460,47600.0,2145,3,1,2
461,49000.0,2145,3,1,3
462,49000.0,2610,3,1,2
463,49000.0,1950,3,2,2
464,49500.0,2145,3,1,3
465,52000.0,2275,3,1,3
466,54000.0,2856,3,1,3
467,55000.0,2015,3,1,2
468,55000.0,2176,2,1,2
469,56000.0,2145,4,2,1
470,60000.0,2145,3,1,3
471,60500.0,2787,3,1,1
472,50000.0,9500,3,1,2
473,64900.0,4990,4,2,2
474,93000.0,6670,3,1,3
475,85000.0,6254,4,2,1
476,61500.0,10360,2,1,1
477,88500.0,5500,3,2,1
478,88000.0,5450,4,2,1
479,89000.0,5500,3,1,3
480,89500.0,6000,4,1,3
481,95000.0,5700,3,1,1
482,95500.0,6600,2,2,4
483,51500.0,4000,2,1,1
484,62900.0,4880,3,1,1
485,118500.0,4880,4,2,2
486,42900.0,8050,2,1,1
487,44100.0,8100,2,1,1
488,47000.0,5880,3,1,1
489,50000.0,5880,2,1,1
490,50000.0,12944,3,1,1
491,53000.0,6020,3,1,1
492,53000.0,4050,2,1,1
493,54000.0,8400,2,1,1
494,58500.0,5600,2,1,1
495,59000.0,5985,3,1,1
496,60000.0,4500,3,1,1
497,62900.0,4920,3,1,2
498,64000.0,8250,3,1,1
499,65000.0,8400,4,1,4
500,67900.0,6440,2,1,1
501,68500.0,8100,4,1,4
502,70000.0,6720,3,1,1
503,70500.0,5948,3,1,2
504,71500.0,8150,3,2,1
505,71900.0,4800,2,1,1
506,75000.0,9800,4,2,2
507,75000.0,8520,3,1,1
508,87000.0,8372,3,1,3
509,64000.0,4040,3,1,2
510,70000.0,4646,3,1,2
511,47500.0,4775,4,1,2
512,62600.0,4950,4,1,2
513,66000.0,5010,3,1,2
514,58900.0,6060,2,1,1
515,53000.0,3584,2,1,1
516,95000.0,6000,3,2,3
517,96500.0,6000,4,2,4
518,101000.0,6240,4,2,2
519,102000.0,6000,3,2,2
520,103000.0,7680,4,2,4
521,105000.0,6000,4,2,4
522,108000.0,6000,4,2,4
523,110000.0,6000,4,2,4
524,113000.0,6000,4,2,4
525,120000.0,7475,3,2,4
526,105000.0,5150,3,2,4
527,106000.0,6325,3,1,4
528,107500.0,6000,3,2,4
529,108000.0,6000,3,2,3
530,113750.0,6000,3,1,4
531,120000.0,7000,3,1,4
532,70000.0,12900,3,1,1
533,71000.0,7686,3,1,1
534,82000.0,5000,3,1,3
535,82000.0,5800,3,2,4
536,82500.0,6000,3,2,4
537,83000.0,4800,3,1,3
538,84000.0,6500,3,2,3
539,85000.0,7320,4,2,2
540,85000.0,6525,3,2,4
541,91500.0,4800,3,2,4
542,94000.0,6000,3,2,4
543,103000.0,6000,3,2,4
544,105000.0,6000,3,2,2
545,105000.0,6000,3,1,2
